listing_id,date,vacant_days,reserved_days,occupancy,revenue,rate_avg,booked_rate_avg,booking_lead_time_avg,length_of_stay_avg,min_nights_avg,native_booked_rate_avg,native_rate_avg,native_revenue
37891823,2025-10-01,31,0,0.0,0.0,64.5,,,,2,,8334.0,0.0
37891823,2025-11-01,30,0,0.0,0.0,62.8,,,,2,,8114.0,0.0
37891823,2025-12-01,31,0,0.0,0.0,62.1,,,,2,,8024.0,0.0
37891823,2026-01-01,31,0,0.0,0.0,61.7,,,,2,,7972.0,0.0
37891823,2026-02-01,28,0,0.0,0.0,60.6,,,,2,,7830.0,0.0
37891823,2026-03-01,31,0,0.0,0.0,60.8,,,,2,,7856.0,0.0
37891823,2026-04-01,30,0,0.0,0.0,61.1,,,,2,,7894.0,0.0
37891823,2026-05-01,31,0,0.0,0.0,61.7,,,,2,,7972.0,0.0
37891823,2026-06-01,30,0,0.0,0.0,62.2,,,,2,,8036.0,0.0
37891823,2026-07-01,31,0,0.0,0.0,61.5,,,,2,,7946.0,0.0
37891823,2026-08-01,31,0,0.0,0.0,62.5,,,,2,,8075.0,0.0
37891823,2026-09-01,30,0,0.0,0.0,61.5,,,,2,,7946.0,0.0
38772875,2025-10-01,28,3,0.097,327.0,98.1,109.0,147,1,1,14083.0,12675.0,42250.0
38772875,2025-11-01,20,10,0.333,961.0,99.0,96.1,48,5,1,12416.0,12791.0,124165.0
38772875,2025-12-01,28,3,0.097,286.0,99.9,95.3,74,3,1,12313.0,12907.0,36952.0
38772875,2026-01-01,17,14,0.452,1340.0,96.4,95.7,221,7,1,12365.0,12455.0,173133.0
38772875,2026-02-01,28,0,0.0,0.0,94.9,,,,1,,12261.0,0.0
38772875,2026-03-01,31,0,0.0,0.0,100.1,,,,1,,12933.0,0.0
38772875,2026-04-01,30,0,0.0,0.0,100.0,,,,1,,12920.0,0.0
38772875,2026-05-01,31,0,0.0,0.0,100.5,,,,1,,12985.0,0.0
38772875,2026-06-01,30,0,0.0,0.0,99.4,,,,1,,12843.0,0.0
38772875,2026-07-01,31,0,0.0,0.0,95.1,,,,1,,12287.0,0.0
38772875,2026-08-01,31,0,0.0,0.0,95.6,,,,1,,12352.0,0.0
38772875,2026-09-01,30,0,0.0,0.0,97.2,,,,1,,12559.0,0.0
19857543,2025-10-01,19,12,0.387,739.0,61.9,61.6,108,12,2,7959.0,7998.0,95481.0
19857543,2025-11-01,21,9,0.3,562.0,62.6,62.4,143,9,2,8062.0,8088.0,72612.0
19857543,2025-12-01,22,9,0.29,561.0,62.2,62.3,178,9,2,8049.0,8036.0,72483.0
19857543,2026-01-01,31,0,0.0,0.0,64.1,,,,2,,8282.0,0.0
19857543,2026-02-01,28,0,0.0,0.0,62.8,,,,2,,8114.0,0.0
19857543,2026-03-01,31,0,0.0,0.0,62.7,,,,2,,8101.0,0.0
19857543,2026-04-01,30,0,0.0,0.0,62.6,,,,2,,8088.0,0.0
19857543,2026-05-01,31,0,0.0,0.0,62.8,,,,2,,8114.0,0.0
19857543,2026-06-01,30,0,0.0,0.0,62.6,,,,2,,8088.0,0.0
19857543,2026-07-01,31,0,0.0,0.0,63.4,,,,,,8192.0,0.0
19857543,2026-08-01,31,0,0.0,0.0,62.7,,,,,,8101.0,0.0
19857543,2026-09-01,30,0,0.0,0.0,62.3,,,,,,8049.0,0.0
20040341,2025-10-01,8,23,0.742,1065.0,46.2,46.3,27,6,2,5982.0,5969.0,137602.0
20040341,2025-11-01,21,9,0.3,404.0,47.2,44.9,61,1,2,5801.0,6098.0,52198.0
20040341,2025-12-01,31,0,0.0,0.0,50.7,,,,2,,6551.0,0.0
20040341,2026-01-01,31,0,0.0,0.0,51.4,,,,2,,6641.0,0.0
20040341,2026-02-01,0,28,1.0,1432.0,51.1,51.1,144,46,2,6602.0,6602.0,185020.0
20040341,2026-03-01,13,18,0.581,937.0,51.9,52.1,,,2,6732.0,6706.0,121064.0
20040341,2026-04-01,30,0,0.0,0.0,51.5,,,,2,,6654.0,0.0
20040341,2026-05-01,31,0,0.0,0.0,51.7,,,,2,,6680.0,0.0
20040341,2026-06-01,30,0,0.0,0.0,50.9,,,,2,,6576.0,0.0
20040341,2026-07-01,31,0,0.0,0.0,49.8,,,,2,,6434.0,0.0
20040341,2026-08-01,31,0,0.0,0.0,49.0,,,,2,,6331.0,0.0
20040341,2026-09-01,30,0,0.0,0.0,49.9,,,,2,,6447.0,0.0
38698555,2025-10-01,24,7,0.226,105.0,14.7,15.0,21,6,1,1938.0,1899.0,13566.0
38698555,2025-11-01,30,0,0.0,0.0,14.6,,,,1,,1886.0,0.0
38698555,2025-12-01,31,0,0.0,0.0,15.3,,,,1,,1977.0,0.0
38698555,2026-01-01,31,0,0.0,0.0,15.3,,,,1,,1977.0,0.0
38698555,2026-02-01,28,0,0.0,0.0,15.4,,,,1,,1990.0,0.0
38698555,2026-03-01,31,0,0.0,0.0,15.3,,,,1,,1977.0,0.0
38698555,2026-04-01,30,0,0.0,0.0,15.2,,,,1,,1964.0,0.0
38698555,2026-05-01,31,0,0.0,0.0,15.8,,,,1,,2041.0,0.0
38698555,2026-06-01,30,0,0.0,0.0,16.6,,,,1,,2145.0,0.0
38698555,2026-07-01,31,0,0.0,0.0,16.8,,,,1,,2171.0,0.0
38698555,2026-08-01,31,0,0.0,0.0,16.7,,,,1,,2158.0,0.0
38698555,2026-09-01,30,0,0.0,0.0,16.7,,,,1,,2158.0,0.0
25351694,2025-10-01,31,0,0.0,0.0,97.7,,,,1,,12623.0,0.0
25351694,2025-11-01,26,4,0.133,383.0,88.0,95.8,51,2,1,12378.0,11370.0,49485.0
25351694,2025-12-01,31,0,0.0,0.0,96.6,,,,1,,12481.0,0.0
25351694,2026-01-01,31,0,0.0,0.0,87.7,,,,1,,11331.0,0.0
25351694,2026-02-01,28,0,0.0,0.0,91.8,,,,1,,11861.0,0.0
25351694,2026-03-01,31,0,0.0,0.0,95.5,,,,1,,12339.0,0.0
25351694,2026-04-01,30,0,0.0,0.0,95.0,,,,1,,12274.0,0.0
25351694,2026-05-01,31,0,0.0,0.0,92.0,,,,1,,11887.0,0.0
25351694,2026-06-01,30,0,0.0,0.0,97.7,,,,1,,12623.0,0.0
25351694,2026-07-01,31,0,0.0,0.0,99.6,,,,1,,12869.0,0.0
25351694,2026-08-01,31,0,0.0,0.0,103.1,,,,1,,13321.0,0.0
25351694,2026-09-01,30,0,0.0,0.0,94.6,,,,1,,12223.0,0.0
25875366,2025-10-01,0,31,1.0,2524.0,81.4,81.4,,,2,10517.0,10517.0,326110.0
25875366,2025-11-01,0,30,1.0,2411.0,80.4,80.4,,,2,10388.0,10388.0,311510.0
25875366,2025-12-01,19,12,0.387,995.0,81.6,82.9,,,2,10711.0,10543.0,128558.0
25875366,2026-01-01,31,0,0.0,0.0,81.0,,,,2,,10465.0,0.0
25875366,2026-02-01,28,0,0.0,0.0,82.8,,,,2,,10698.0,0.0
25875366,2026-03-01,31,0,0.0,0.0,83.4,,,,2,,10776.0,0.0
25875366,2026-04-01,30,0,0.0,0.0,82.4,,,,2,,10646.0,0.0
25875366,2026-05-01,31,0,0.0,0.0,82.6,,,,2,,10672.0,0.0
25875366,2026-06-01,30,0,0.0,0.0,84.3,,,,2,,10892.0,0.0
25875366,2026-07-01,31,0,0.0,0.0,84.3,,,,2,,10892.0,0.0
25875366,2026-08-01,31,0,0.0,0.0,84.0,,,,2,,10853.0,0.0
25875366,2026-09-01,30,0,0.0,0.0,83.8,,,,2,,10827.0,0.0
38322583,2025-10-01,20,11,0.355,783.0,70.4,71.2,3,5,2,9199.0,9096.0,101166.0
38322583,2025-11-01,27,3,0.1,211.0,66.5,70.3,43,3,2,9083.0,8592.0,27262.0
38322583,2025-12-01,31,0,0.0,0.0,69.1,,,,2,,8928.0,0.0
38322583,2026-01-01,31,0,0.0,0.0,71.4,,,,2,,9225.0,0.0
38322583,2026-02-01,28,0,0.0,0.0,70.6,,,,2,,9122.0,0.0
38322583,2026-03-01,31,0,0.0,0.0,69.6,,,,2,,8993.0,0.0
38322583,2026-04-01,30,0,0.0,0.0,70.6,,,,2,,9122.0,0.0
38322583,2026-05-01,31,0,0.0,0.0,67.9,,,,2,,8773.0,0.0
38322583,2026-06-01,30,0,0.0,0.0,68.5,,,,2,,8850.0,0.0
38322583,2026-07-01,31,0,0.0,0.0,68.6,,,,2,,8863.0,0.0
38322583,2026-08-01,31,0,0.0,0.0,70.2,,,,2,,9070.0,0.0
38322583,2026-09-01,30,0,0.0,0.0,71.7,,,,2,,9264.0,0.0
40976598,2025-10-01,14,17,0.548,1414.0,84.6,83.2,60,8,1,10750.0,10931.0,182694.0
40976598,2025-11-01,23,7,0.233,631.0,89.7,90.1,,,1,11641.0,11590.0,81527.0
40976598,2025-12-01,31,0,0.0,0.0,77.4,,,,1,,10000.0,0.0
40976598,2026-01-01,31,0,0.0,0.0,81.6,,,,1,,10543.0,0.0
40976598,2026-02-01,28,0,0.0,0.0,81.8,,,,1,,10569.0,0.0
40976598,2026-03-01,31,0,0.0,0.0,84.2,,,,1,,10879.0,0.0
40976598,2026-04-01,30,0,0.0,0.0,101.1,,,,1,,13062.0,0.0
40976598,2026-05-01,31,0,0.0,0.0,99.0,,,,1,,12791.0,0.0
40976598,2026-06-01,30,0,0.0,0.0,99.2,,,,1,,12817.0,0.0
