listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days
471581,Located In a Serene Environment,Entire cottage,entire_home,https://a0.muscache.com/im/pictures/6434524/bcd9fbe4_original.jpg,37,2280941,Bella,"","",true,-1.2268,36.8577,3,2,2,1.0,false,"TV,Wifi,Kitchen,Free parking on premises,Hot water,Body soap,Resort access,Mosquito net,Bed linens,Extra pillows and blankets,Outdoor furniture,Microwave,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Washer,Backyard,Essentials,Shampoo,Hangers,Iron,Dedicated workspace",false,2,Moderate,KES,28,0,80,4.81,4.8,4.8,4.7,4.9,4.8,4.8,4416.0,570748.0,41.7,5388.2,0.296,0.4,12.1,1563.7,16.4,2113.9,108,95,257,365,1807.0,233475.0,40.3,5202.7,0.5,0.726,20.1,2594.2,29.1,3765.7,45,28,45,90
906958,Makena's Place Karen - Flamingo Room,Private room in cottage,private_room,https://a0.muscache.com/im/pictures/68ecc57f-d57b-4d12-bfa6-bbd1fb4107e3.jpg,29,4856316,Chichi,"","",true,-1.3240,36.7053,,,1,0.0,false,"Wifi,Kitchen,Free parking on premises,Smoking allowed,Hot water,Breakfast,Outdoor furniture,Microwave,Indoor fireplace,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Washer,Dryer,BBQ grill,Patio or balcony,Backyard,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Private entrance",true,1,Firm,KES,0,20,66,4.91,4.9,4.9,5.0,4.9,4.9,4.9,3803.0,491304.0,48.1,6215.8,0.222,0.236,10.4,1346.0,11.1,1432.4,81,22,284,365,525.0,67833.0,53.3,6888.1,0.111,0.147,5.8,753.7,7.7,997.5,10,22,80,90
1023556,Home in Langata 1 km to Nairobi National Park,Entire guesthouse,entire_home,https://a0.muscache.com/im/pictures/01cc7287-2039-445b-a261-c0d16290f19b.jpg,20,5634522,Janet,"","",false,-1.3222,36.7852,2,1,1,1.0,false,"TV,Blender,Wifi,Babysitter recommendations,Kitchen,Free parking on premises,Room-darkening shades,Hot water kettle,Children’s dinnerware,Portable fans,Smoking allowed,Pets allowed,Hot water,Body soap,Mini fridge,Mosquito net,Bed linens,Extra pillows and blankets,Microwave,Cleaning products,Drying rack for clothing,Dishes and silverware,Cooking basics,Coffee,Clothing storage,Stove,Wine glasses,Washer,Single level home,Backyard,Luggage dropoff allowed,Essentials,Long term stays allowed,Cleaning before checkout,Hangers,Hair dryer,Iron,Dedicated workspace,Freezer,Rice maker",false,1,Moderate,KES,5,0,154,4.84,4.9,4.9,4.9,4.9,4.7,4.8,218.0,28230.0,28.2,3647.1,0.03,0.0,0.6,77.3,0.0,0.0,11,0,354,365,78.0,10078.0,19.2,2482.1,0.044,0.0,0.9,112.0,0.0,0.0,4,0,86,90
1237886,Hob House,Room in bed and breakfast,hotel_room,https://a0.muscache.com/im/pictures/cbdab7e1-f840-44ed-a028-6085d21ea284.jpg?aki_policy=medium,8,6748840,,"","",false,-1.2258,36.7679,2,7,9,1.0,,"Air conditioning,Kitchen,Dryer,Heating,Wifi,Free parking on premises,Hair dryer,Cable TV,Iron,Washer,TV,Breakfast,Hangers,Essentials,Indoor fireplace,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Shampoo,Bathtub,Baby bath,High chair,Children’s books and toys,Window guards,Fireplace guards,Babysitter recommendations,Room-darkening shades,Hot water,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,BBQ grill,Backyard,Luggage dropoff allowed,Long term stays allowed",,1,Flexible,KES,0,20,57,4.79,4.8,4.8,4.9,4.6,4.7,4.8,1733.0,223430.0,114.4,14775.9,0.041,0.0,4.7,612.1,0.0,0.0,15,0,350,365,620.0,80106.0,121.0,15639.3,0.056,0.0,6.9,890.1,0.0,0.0,5,0,85,90
1803821,Makena's Place Karen - All Rooms,Private room in cottage,private_room,https://a0.muscache.com/im/pictures/786899c5-b8a6-4453-bb73-a9f0e90add80.jpg,58,4856316,Chichi,"","",true,-1.3237,36.7059,,3,3,0.0,false,"Wifi,Kitchen,Free parking on premises,Smoking allowed,Hot water,Breakfast,Outdoor furniture,Microwave,Coffee maker,Indoor fireplace,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Washer,Dryer,BBQ grill,Patio or balcony,Backyard,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace,Private entrance",true,1,Firm,KES,10,0,11,4.91,5.0,5.0,5.0,4.5,4.9,4.9,4975.0,642180.0,126.6,16361.8,0.107,0.125,13.6,1759.4,15.9,2058.3,39,53,326,365,507.0,65507.0,125.4,16196.3,0.044,0.055,5.6,727.9,6.9,897.4,4,17,86,90
1808465,Makena's Place Karen - K Girl & Gecko Room,Private room in cottage,private_room,https://a0.muscache.com/im/pictures/cf1c76e0-0493-4149-bb66-1faea2658c8c.jpg,15,4856316,Chichi,"","",true,-1.3233,36.7077,,2,2,0.0,false,"Wifi,Kitchen,Free parking on premises,Smoking allowed,Hot water,Breakfast,Outdoor furniture,Microwave,Coffee maker,Indoor fireplace,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Washer,Dryer,BBQ grill,Patio or balcony,Backyard,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area",true,1,Firm,KES,0,30,77,4.97,5.0,5.0,5.0,5.0,5.0,5.0,2959.0,382386.0,32.8,4238.4,0.258,0.0,8.1,1047.6,0.0,0.0,94,0,271,365,609.0,78685.0,37.0,4774.8,0.178,0.0,6.8,874.3,0.0,0.0,16,0,74,90
2486516,Stunning guest cottage in tranquil setting,Entire guesthouse,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-2486516/original/05ea2fe5-9e30-43a6-af43-4b1273aedeff.jpeg,26,3934891,Jeremy,"","",true,-1.3734,36.7403,8,4,5,2.0,false,"TV,Window guards,Wifi,Pool,Crib,Kitchen,Board games,Free parking on premises,Pets allowed,Hot water,Bed linens,Extra pillows and blankets,Ethernet connection,Coffee maker,Indoor fireplace,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Washer,Smoke alarm,BBQ grill,Shower gel,Carbon monoxide alarm,Patio or balcony,First aid kit,Backyard,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace,Barbecue utensils,Private entrance",false,1,Moderate,KES,0,100,135,4.98,5.0,5.0,5.0,5.0,5.0,4.9,18254.0,2359988.0,159.4,20604.6,0.329,0.0,50.0,6465.7,0.0,0.0,120,0,245,365,4631.0,598341.0,221.0,28555.5,0.233,0.0,51.5,6648.2,0.0,0.0,21,0,69,90
2498391,Cosy 2 Bedroom Guest House in Lavington Green,Entire guesthouse,entire_home,https://a0.muscache.com/im/pictures/5dbcd0fe-18af-4c93-b10d-5e02ae627a51.jpg,42,289048986,Ciru,"12788164,501477043","Stanley,Lorna",false,-1.2743,36.7746,2,2,2,1.0,false,"TV,Cable TV,Wifi,Kitchen,Free parking on premises,Hot water kettle,Hot water,Mosquito net,Bed linens,Extra pillows and blankets,Free street parking,Outdoor furniture,Microwave,Coffee maker,Indoor fireplace,Refrigerator,Drying rack for clothing,Dishes and silverware,Cooking basics,Oven,Clothing storage,Stove,Wine glasses,Washer,Single level home,BBQ grill,Patio or balcony,First aid kit,Backyard,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Cleaning before checkout,Hangers,Dining table,Iron,Dedicated workspace,Freezer,Toaster",false,2,Moderate,KES,20,0,18,4.94,4.9,4.9,4.8,4.9,5.0,4.8,2169.0,280451.0,60.1,7759.4,0.099,0.125,5.9,768.4,7.5,970.4,36,76,329,365,353.0,45609.0,58.9,7605.8,0.067,0.128,3.9,506.8,7.5,970.4,6,43,84,90
2868580,Cosy Garden Cottage / House,Entire guesthouse,entire_home,https://a0.muscache.com/im/pictures/37119989/faf28811_original.jpg,18,14663062,Jürgen,"","",true,-1.2298,36.7976,1,1,1,1.0,false,"Wifi,Kitchen,Free parking on premises,Hot water,Extra pillows and blankets,Microwave,Refrigerator,Dishes and silverware,Heating,Cooking basics,Oven,Washer,Smoke alarm,Carbon monoxide alarm,First aid kit,Backyard,Luggage dropoff allowed,Essentials,Long term stays allowed,Hangers,Iron,Dedicated workspace",false,3,Flexible,KES,0,0,42,4.9,5.0,5.0,4.9,5.0,4.9,4.9,8068.0,1041977.0,33.2,4296.2,0.668,0.707,22.1,2854.7,23.4,3020.2,244,20,121,365,1668.0,215519.0,34.5,4463.4,0.544,0.636,18.5,2394.7,21.7,2798.9,49,13,41,90
3614505,"Eden on 12th floor,beautiful studio perfect for 2",Entire condo,entire_home,https://a0.muscache.com/im/pictures/airflow/Hosting-3614505/original/5f7b6e4a-6fa2-4bb2-8047-c581dec465df.jpg,47,18212400,Celia,"","",false,-1.2900,36.7786,2,1,2,1.0,false,"TV,Wifi,Kitchen,Free parking on premises,Hot water kettle,Smoking allowed,Pets allowed,Gym,Mini fridge,Elevator,Laundromat nearby,Outdoor furniture,Cleaning products,Drying rack for clothing,Coffee,Clothing storage,Wine glasses,Washer,Smoke alarm,Fire extinguisher,Essentials,Shampoo,Hangers,Iron,Dedicated workspace,Outdoor dining area,Freezer,Private entrance,Blender,Room-darkening shades,Hot water,Body soap,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Exercise equipment,Shower gel,Patio or balcony,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout,Dining table,Toaster",false,2,Flexible,KES,10,10,27,4.81,4.8,4.8,5.0,4.7,4.8,4.7,1864.0,240687.0,34.2,4416.9,0.159,0.205,5.1,659.4,6.6,850.5,58,82,307,365,170.0,21965.0,38.8,5010.3,0.056,0.116,1.9,244.1,4.0,510.8,5,47,85,90
