listing_id,date,vacant_days,reserved_days,occupancy,revenue,rate_avg,booked_rate_avg,booking_lead_time_avg,length_of_stay_avg,min_nights_avg,native_booked_rate_avg,native_rate_avg,native_revenue
21520917,2024-12-01,22,9,0.29,345.0,37.6,38.3,5,9,,4960.0,4869.0,44680.0
39875956,2025-08-01,31,0,0.0,0.0,69.1,,,,1,,8928.0,0.0
36253079,2025-04-01,30,0,0.0,0.0,33.7,,,,1,,4364.0,0.0
40675899,2024-09-01,24,6,0.2,243.0,40.2,40.5,1,9,,5232.0,5193.0,31391.0
21520917,2025-01-01,31,0,0.0,0.0,37.2,,,,1,,4805.0,0.0
36253079,2025-06-01,30,0,0.0,0.0,34.1,,,,1,,4406.0,0.0
21520917,2024-10-01,13,18,0.581,679.0,38.3,37.7,110,27,,4863.0,4941.0,87591.0
40675899,2024-10-01,28,3,0.097,120.0,40.4,40.0,,,,5160.0,5212.0,15480.0
36253079,2024-11-01,30,0,0.0,0.0,32.3,,,,,,4167.0,0.0
36253079,2025-01-01,16,15,0.484,487.0,32.4,32.5,,,1,4198.0,4185.0,62906.0
21520917,2025-08-01,25,6,0.194,237.0,39.7,39.5,2,6,1,5104.0,5129.0,30621.0
36253079,2025-02-01,28,0,0.0,0.0,31.9,,,,1,,4120.0,0.0
21520917,2025-04-01,30,0,0.0,0.0,38.7,,,,1,,5012.0,0.0
40675899,2025-07-01,31,0,0.0,0.0,66.4,,,,2,,8579.0,0.0
39875956,2025-06-01,18,12,0.4,835.0,68.0,69.6,17,15,1,8993.0,8786.0,107885.0
21520917,2025-03-01,26,5,0.161,191.0,37.9,38.2,42,5,1,4909.0,4870.0,24544.0
36253079,2025-08-01,31,0,0.0,0.0,33.9,,,,1,,4380.0,0.0
39875956,2024-11-01,30,0,0.0,0.0,61.4,,,,,,7921.0,0.0
36253079,2025-05-01,29,2,0.065,73.0,34.7,36.5,2,2,1,4739.0,4505.0,9478.0
39875956,2025-04-01,30,0,0.0,0.0,66.8,,,,1,,8651.0,0.0
21520917,2025-07-01,31,0,0.0,0.0,39.8,,,,1,,5142.0,0.0
40675899,2025-01-01,29,2,0.065,83.0,41.3,41.5,,,2,5361.0,5335.0,10721.0
40675899,2025-04-01,30,0,0.0,0.0,59.8,,,,2,,7744.0,0.0
39875956,2024-12-01,3,28,0.903,1680.0,60.1,60.0,49,14,1,7770.0,7783.0,217571.0
39875956,2025-01-01,30,1,0.032,56.0,55.7,56.0,,,1,7234.0,7195.0,7234.0
36253079,2025-07-01,31,0,0.0,0.0,34.1,,,,1,,4406.0,0.0
40675899,2025-05-01,31,0,0.0,0.0,61.5,,,,2,,7985.0,0.0
36253079,2024-09-01,30,0,0.0,0.0,32.8,,,,,,4237.0,0.0
40675899,2025-08-01,31,0,0.0,0.0,62.1,,,,2,,8024.0,0.0
21520917,2025-06-01,30,0,0.0,0.0,40.1,,,,1,,5181.0,0.0
21520917,2024-11-01,20,10,0.333,377.0,37.5,37.7,,,,4863.0,4838.0,48633.0
40675899,2025-06-01,30,0,0.0,0.0,63.6,,,,2,,8217.0,0.0
40675899,2024-11-01,30,0,0.0,0.0,40.7,,,,,,5250.0,0.0
21520917,2025-05-01,31,0,0.0,0.0,39.5,,,,1,,5129.0,0.0
39875956,2024-10-01,31,0,0.0,0.0,61.5,,,,,,7934.0,0.0
40675899,2025-03-01,31,0,0.0,0.0,49.6,,,,2,,6374.0,0.0
39875956,2025-05-01,31,0,0.0,0.0,66.7,,,,1,,8660.0,0.0
36253079,2025-03-01,31,0,0.0,0.0,31.7,,,,1,,4074.0,0.0
36253079,2024-12-01,18,13,0.419,430.0,32.5,33.1,1,28,,4287.0,4209.0,55688.0
21520917,2025-02-01,28,0,0.0,0.0,38.0,,,,1,,4908.0,0.0
36253079,2024-10-01,31,0,0.0,0.0,33.0,,,,,,4257.0,0.0
39875956,2024-09-01,30,0,0.0,0.0,60.1,,,,,,7764.0,0.0
